name,tags,def,alias,source,last_updated
Billing Integration,general; suger,The technical connection between a marketplace and an ISV's system enabling automated invoicing; usage reporting; and payout reconciliation. Required for transactable listings.,Related: SaaS Fulfillment API — Azure; Procurement API — GCP; Signup URL Redirect,https://doc.suger.io/get-started/,2026-05-14
Bring Your Own License (BYOL),general; aws; azure; gcp,A marketplace listing model where the buyer has already purchased a license directly from the ISV outside the marketplace. The marketplace handles deployment but not billing. Not eligible for committed spend drawdown.,Related: Transactable Offer; Listing,https://docs.aws.amazon.com/marketplace/latest/userguide/BYOL-pricing.html,2026-08-03
Buyer,suger; general,In Suger; the entity that has purchased a product through a marketplace. Has a tracked ID and maps to different entities across platforms.,AWS: Customer Identifier | Azure: Purchaser PUID | GCP: User Account Id,https://doc.suger.io/get-started/resources/,2026-08-03
Channel Partner (CP),aws; azure; gcp; general; channel,A reseller; system integrator (SI); or managed service provider (MSP) authorized by an ISV to resell marketplace products to end customers. The channel partner typically becomes the seller of record.,Related: Channel Partner Private Offer (CPPO) — AWS; Multiparty Private Offer (MPO) — Azure,https://docs.aws.amazon.com/marketplace/latest/userguide/channel-partner-offers.html,2026-08-03
Cloud Go-to-Market (Cloud GTM),general,A sales and distribution strategy centered on cloud marketplaces — combining listing; transacting; and co-selling to reach enterprise buyers and shorten sales cycles.,Related: Suger Console; Co-sell,https://aws.amazon.com/partners/programs/isv-accelerate/,2026-06-23
Co-sell,suger; cosell,A partnership motion where an ISV and a cloud provider's sales team jointly pursue a customer opportunity. Unlocks pipeline sharing; deal acceleration; and marketplace incentives. Managed in Suger via the Co-sell module.,Related: APN Customer Engagements (ACE) — AWS; Google Cloud Partner Network — GCP; MISA (Microsoft Intelligent Security Association) — Azure,https://doc.suger.io/cosell/,2026-08-03
Co-sell Eligible / Incentivized — Azure,azure; cosell,Microsoft's three-tier co-sell status system for Microsoft Marketplace offers: In-market (live transactable listing required); Co-sell Ready (In-market plus solution one-pager and pitch deck in Partner Center); and Azure IP Co-sell Eligible (Co-sell Ready plus ≥$100K Azure Consumed Revenue or Marketplace Billed Sales in the trailing 12 months at the org level; Azure-based technical validation; a transactable offer; and a reference architecture diagram for most offer types). Azure IP Co-sell Eligible status unlocks MACC eligibility and prioritized Microsoft seller engagement. Microsoft field sellers earn incentive credit (via MCI) for selling Azure IP Co-sell Eligible offers.,Related: Azure Consumption Commitment (MACC) — Azure; Microsoft Marketplace — Azure,https://learn.microsoft.com/en-us/partner-center/referrals/co-sell-requirements,2026-06-02
Combined Pricing — GCP,gcp,A GCP pricing model pairing a flat-rate subscription commit with usage-based metering. Buyers pay a base fee plus charges for consumption above the included amount.,AWS equivalent: SaaS Contracts with Pay-As-You-Go (Overages) — AWS | Azure equivalent: Flat Rate Pricing — Azure | Related: Usage Metering; Price Model,https://docs.cloud.google.com/marketplace/docs/partners/integrated-saas,2026-08-31
Commit / Prepaid Commit,general; aws; azure; gcp,An upfront amount or quantity a buyer commits to paying at contract start; regardless of actual usage. Often combined with metered overage billing for usage above the committed amount.,Related: Overage,https://doc.suger.io/get-started/metering/,2026-08-03
Committed Spend / Cloud Commit,general,A pre-negotiated spending commitment an enterprise makes with a cloud provider. Software purchased via transactable marketplace listings typically counts toward drawing down this commitment — a major driver of enterprise marketplace buying.,AWS: Enterprise Discount Program (EDP) — AWS | Azure: Azure Consumption Commitment (MACC) — Azure | GCP: Committed Use Discount (CUD) — GCP,https://docs.aws.amazon.com/marketplace/latest/userguide/private-offers.html,2026-08-03
Commit Drawdown — Suger,suger; billing,Suger's cross-cloud comparison of how a marketplace purchase retires a customer's committed-spend agreement — AWS EDP/PPA; Azure MACC; or GCP CUD. Azure draws down 100% of the pretax purchase with no cap; AWS and GCP channel offers typically cap drawdown around 25%; a negotiated term rather than a published figure; so the exact cap must be confirmed in the customer's agreement. AWS and Azure only retire commit when the product is hosted on their own cloud — AWS requires the 'Deployed on AWS' badge and Azure requires 'Azure benefit eligible' status plus a purchase through the Azure portal path — while GCP has no hosting requirement and any transactable listing is auto-eligible.,AWS equivalent: Enterprise Discount Program (EDP) — AWS | Related: Committed Spend / Cloud Commit; Azure Consumption Commitment (MACC) — Azure; Committed Use Discount (CUD) — GCP,https://doc.suger.io/get-started/commit-drawdown/,2026-08-31
Contract — AWS,aws,An AWS pricing model where a buyer commits upfront to a fixed fee for a defined term (up to 3 years). Can include a consumption/PAYG component for usage above the contract amount. Cannot be cancelled mid-term.,Related: Private Offer; Agreement — AWS; Entitlement,https://docs.aws.amazon.com/marketplace/latest/userguide/contract-pricing.html,2026-08-03
Channel Partner Private Offer (CPPO) — AWS,aws; cosell; offers; channel,A program where an ISV creates a selling authorization (also called resale authorization) with a wholesale price that an authorized channel partner uses to create a private offer — with markup — for an end customer. The channel partner is the seller of record.,GCP equivalent: Marketplace Channel Private Offer (MCPO) — GCP | Azure equivalent: Multiparty Private Offer (MPO) — Azure | Related: Resale Authorization — AWS; Solution Provider Private Offer (SPPO) — AWS,https://docs.aws.amazon.com/marketplace/latest/userguide/channel-partner-offers.html,2026-08-03
CRM Integration,suger; cosell; integrations,Suger's connections to Salesforce and HubSpot that sync marketplace entitlements; co-sell referrals; and deal data bi-directionally with your sales team's CRM.,Related: Salesforce Integration; HubSpot Integration; Salesforce App; HubSpot App,https://doc.suger.io/integrations/salesforce/,2026-05-14
Cloud Solution Provider (CSP) — Azure,azure; cosell; channel,A Microsoft partner program that lets authorized partners resell Microsoft cloud services and ISV Marketplace solutions to end customers. ISVs can create margin-sharing private offers for CSP partners via Multiparty Private Offers. Starting August 1; 2026; CSP New Commerce trials become transactable for the first time — previously trial subscriptions weren't billable or trackable through this channel.,Related: Multiparty Private Offer (MPO) — Azure; Microsoft Marketplace — Azure,https://learn.microsoft.com/en-us/partner-center/csp-overview,2026-08-03
Committed Use Discount (CUD) — GCP,gcp; funding,Google Cloud's committed spend program. Enterprises commit to a minimum resource usage over 1–3 years in exchange for discounts. Eligible transactable marketplace purchases count toward CUD drawdown.,AWS equivalent: Enterprise Discount Program (EDP) — AWS | Azure equivalent: Azure Consumption Commitment (MACC) — Azure,https://docs.cloud.google.com/docs/cuds,2026-08-03
Metering Dimension Conversion — Suger,suger,A Suger setting that maps dimension keys from your internal metering system to marketplace dimension names using a multiplier factor. Avoids needing to rename dimensions in either system.,Related: Metering Dimension; Usage Metering; Billable Metric,https://doc.suger.io/get-started/metering/,2026-08-03
Disbursement,general; aws; azure; gcp,The payment a cloud marketplace sends to the seller after collecting from the buyer; net of marketplace fees and taxes. Typically processed monthly. Suger provides disbursement reports for all connected marketplaces.,Related: Revenue; Disbursement Date; Marketplace Fee / Transaction Fee,https://doc.suger.io/revenue/cash-and-disbursements/,2026-08-03
Divide Entitlement Commit,suger,A Suger feature that splits a single annual upfront commit into monthly sub-entitlements; enabling monthly overage metering against a fraction of the total commitment.,Related: Overage,https://doc.suger.io/get-started/metering/,2026-08-03
Enterprise Discount Program (EDP) — AWS,aws; funding,AWS's committed spend program for enterprises (also called Private Pricing Agreement / PPA). Eligible AWS Marketplace transactable listing purchases count toward EDP drawdown — a key enterprise buying incentive. Minimum commitment thresholds are negotiated privately with AWS and are not publicly disclosed; the $1M figure is widely cited but not officially confirmed.,Also known as: Private Pricing Agreement (PPA) — AWS | Azure equivalent: Azure Consumption Commitment (MACC) — Azure | GCP equivalent: Committed Use Discount (CUD) — GCP,https://aws.amazon.com/pricing/enterprise/,2026-08-03
Entitlement,suger,Suger's unified term for the contract/subscription created when a buyer purchases a product on a marketplace. Represents active access rights; billing terms; and the unit for metering.,AWS: Agreement — AWS | Azure: Subscription — Azure | GCP: Subscription — GCP,https://doc.suger.io/api/get-entitlement/,2026-08-03
End User License Agreement (EULA),general,The legal terms governing a buyer's use of software purchased on a marketplace. Sellers can use a custom EULA; a marketplace standard contract (AWS SCMP; Azure standard contract); or a combination with addendums.,Related: Standard Contract — AWS; Private Offer,https://docs.aws.amazon.com/marketplace/latest/userguide/saas-contracts.html,2026-08-03
Flat Rate Pricing — Azure,azure,An Azure pricing model with a fixed monthly or annual fee. Can include a metered overage component where usage above the included quantity triggers additional charges.,AWS equivalent: SaaS Contracts with Pay-As-You-Go (Overages) — AWS | GCP equivalent: Combined Pricing — GCP | Related: Included Quantity — Azure; Per User Pricing — Azure; Overage,https://learn.microsoft.com/en-us/partner-center/marketplace-offers/plan-saas-offer,2026-08-31
Flexible Payment Schedule / Installment Plan,general; aws; azure,An option on private offers that splits a contract's total value into multiple payments over time (e.g.; quarterly installments on an annual deal); aligning to buyer budget cycles.,Related: Private Offer,https://docs.aws.amazon.com/marketplace/latest/userguide/private-offers.html,2026-08-03
Free Trial,general,A marketplace listing option that lets buyers test software at no cost for a set period before converting to a paid subscription. Supported across AWS; Azure; and GCP.,Related: Listing; Transactable Offer,https://docs.aws.amazon.com/marketplace/latest/userguide/saas-free-trials.html,2026-05-14
Future Dated Agreement — AWS,aws; offers,An AWS ABO feature letting sellers create a renewal or upgrade offer with a future start date — up to 3 years in advance — ensuring continuous software access without a coverage gap. Also supported in CPPO transactions: ISVs can optionally cap the maximum future start date a channel partner can specify on a resale authorization.,Related: Agreement-Based Offer (ABO) — AWS; Resale Authorization — AWS,https://docs.aws.amazon.com/marketplace/latest/userguide/private-offers-seller-future-dated-private-offers-and-agreements.html,2026-08-09
GCP Marketplace — GCP,gcp,Google Cloud's marketplace for ISVs to list and sell software and services to Google Cloud customers. Integrated with GCP billing; purchases can draw down CUD commitments.,Related: Producer Portal — GCP; Committed Use Discount (CUD) — GCP; Private Offer — GCP,https://docs.cloud.google.com/marketplace/docs,2026-08-03
Google Cloud Partner Network — GCP,gcp; cosell,Google Cloud's partner program (rebranded from 'Partner Advantage' at Google Cloud Next '26 in April 2026) with a three-tier structure — Select; Premier; and Diamond — where tier advancement is determined by partner-delivered customer outcomes rather than traditional credentialing. The 2026 restructuring replaced the previous two-tier model and retired the Specializations framework; replacing it with 21 competencies across Solution; Product; and Industry categories. Partners manage their program status; co-sell opportunities; and competency progress in the Partner Network Hub at partners.cloud.google.com (https://partners.cloud.google.com/). ISVs join under the 'Build' engagement model — requiring a technical review and a transactable GCP Marketplace listing to unlock co-sell access and partner incentives.,Formerly: Google Cloud Partner Advantage | Related: Build Engagement Model — GCP; GCP Marketplace — GCP; Google Cloud Partner Network Diamond Tier — GCP; Google Cloud Partner Network Competency — GCP,https://cloud.google.com/blog/topics/partners/introducing-google-cloud-partner-network/,2026-08-03
Producer Portal — GCP,gcp,The GCP console interface where ISVs create and manage their Marketplace listings; pricing plans; and integration settings. Access requires Google Cloud Partner Network enrollment. Accessible at console.cloud.google.com/producer-portal (https://console.cloud.google.com/producer-portal).,Related: GCP Marketplace — GCP; Google Cloud Partner Network — GCP,https://docs.cloud.google.com/marketplace/docs/partners,2026-08-03
Inbound Referral,cosell; suger,A co-sell opportunity initiated by a cloud provider's sales team and shared with your organization to accept; qualify; and pursue jointly. Managed in Suger's co-sell module with status tracking and CRM sync. Referrals aren't limited to hyperscaler sales teams — Suger also supports partner-to-partner referrals between two companies that both use Suger; treating the other Suger customer as a fourth referral counterpart alongside AWS; Azure; and GCP; complete with its own revenue-share terms and deal-value visibility controls.,Opposite: Outbound Referral | Azure equivalent: Microsoft-Sourced Opportunity Referral (MSOR) — Azure | Related: Co-sell; Referral,https://doc.suger.io/cosell/cosell-inbound/,2026-08-24
Included Quantity — Azure,azure,In Azure Flat Rate SaaS pricing; the usage amount (per billing dimension) included in the base subscription price — configured as a 1-month; 1-year; 2-year; or 3-year 'quantity included in base.' Consumption beyond that quantity is reported to Microsoft via the Marketplace metering service API and billed as overage on the next billing cycle. This mechanism is exclusive to the flat-rate pricing model — Azure's per-user pricing model does not support metered billing or included quantities.,Related: Flat Rate Pricing — Azure; Overage,https://learn.microsoft.com/en-us/partner-center/marketplace-offers/saas-metered-billing,2026-08-09
Integration,suger; integrations,A Suger connection to an external platform — Salesforce; HubSpot; Slack; billing engines (Metronome; Orb; Lago); or marketplaces — that automatically syncs data with your existing workflows.,Related: CRM Integration; Webhook,https://doc.suger.io/integrations/,2026-08-03
Independent Software Vendor (ISV),general,A company that builds and sells software products. On cloud marketplaces; ISVs are the sellers/publishers listing their products. Can also co-sell and resell through channel partners.,Related: Seller of Record; Channel Partner (CP),https://docs.aws.amazon.com/marketplace/latest/userguide/what-is-marketplace.html,2026-05-14
ISV Accelerate — AWS,aws; cosell,An AWS program offering ISVs co-sell support; AWS sales team introductions; and go-to-market resources. Requires: (1) one or more products listed as GA in AWS Marketplace; (2) minimum 5 launched opportunities (ACE or private offers) in past 12 months excluding FVO; (3) minimum 15 qualified ACE opportunities in past 12 months; (4) at least one team member who completed the Co-Selling with AWS learning module; and (5) ≥$2; 000 in recognized AWS Account revenue. Also requires an approved Foundational Technical Review (FTR) for co-sell eligibility and funding access. Partners must achieve Validated or Differentiated status in AWS Partner Central (via the Partner Path) as a baseline enrollment prerequisite; AWS Specialization status unlocks premium co-sell benefit tiers above the standard program. Required for SPPO participation. As of 2026; ISV Accelerate explicitly covers agentic SaaS co-sell activities and AI agent marketplace listings; extending the program's scope beyond conventional software products. Partners enrolled after January 1; 2026 have MDF access gated behind Partner Revenue Measurement (PRM) implementation plus co-sell engagement thresholds; the program also adds in-person GTM workshops and real-time conversational deal-intelligence surfaced directly on the ACE Opportunity page.,Azure equivalent: ISV Success Program — Azure | GCP equivalent: Build Engagement Model — GCP | Related: APN Customer Engagements (ACE) — AWS; Solution Provider Private Offer (SPPO) — AWS,https://aws.amazon.com/partners/programs/isv-accelerate/,2026-08-03
Landing Page / Signup URL,general; suger,The URL a buyer is redirected to after accepting a marketplace offer; to complete account setup with the ISV. Suger can intercept this redirect; provision the entitlement; then forward the buyer to the ISV's onboarding flow.,Related: Signup URL Redirect; Billing Integration,https://doc.suger.io/get-started/,2026-05-14
Listing,general,A product's public page on a cloud marketplace — the discovery and purchase entry point for buyers. Can be free; BYOL; contact me; free trial; or transactable (paid).,Related: Transactable Offer; Bring Your Own License (BYOL),https://docs.aws.amazon.com/marketplace/latest/userguide/saas-contracts.html,2026-08-03
Azure Consumption Commitment (MACC) — Azure,azure; funding,Microsoft's enterprise committed spend program where enterprises pre-commit to Azure spend over 1–3 years; purchases of MACC-eligible transactable Marketplace listings count toward that commitment; making it a core enterprise buying driver. Purchases must be made through the Azure portal — credit card purchases on Marketplace.Microsoft.com and Azure prepayment (monetary commitments) are excluded. MACC enrollment is per-offer; not per-publisher; each offer must be independently enrolled and hold Azure IP Co-sell Eligible status. Free and BYOL offers are ineligible.,AWS equivalent: Enterprise Discount Program (EDP) — AWS | GCP equivalent: Committed Use Discount (CUD) — GCP,https://learn.microsoft.com/en-us/marketplace/azure-consumption-commitment-benefit,2026-06-02
MACC Eligibility — Azure,azure; offers; procurement,The qualifying status that allows an Azure Marketplace transactable offer to count toward a buyer's Microsoft Azure Consumption Commitment (MACC) when purchased through the Azure portal. To be MACC-eligible; an offer must be transactable (free; BYOL; and trial offers are excluded); hold Azure IP Co-sell Eligible status; and be independently enrolled in the MACC program in Partner Center — enrollment is per-offer; not per-publisher. Buyers must complete purchases through the Azure portal; credit card purchases on Marketplace.Microsoft.com and Azure prepayments do not count toward MACC. MACC eligibility is a critical enterprise sales lever because it positions marketplace purchases as a way to draw down the customer's existing Azure committed spend.,Related: Azure Consumption Commitment (MACC) — Azure | Related: Co-sell Eligible / Incentivized — Azure | Related: Microsoft Marketplace — Azure,https://learn.microsoft.com/en-us/marketplace/azure-consumption-commitment-benefit,2026-06-03
Marketplace Customer Credit Program (MCCP) — GCP,gcp; cosell; funding,A GCP incentive offering end customers up to 3% in Google Cloud credits when purchasing eligible ISV solutions through GCP Marketplace for the first time. Applies to both direct and reseller-led deals (MCPOs). ISVs must register the opportunity in Google Cloud Partner Network to qualify.,Also referred to as: MCCP | Related: Committed Use Discount (CUD) — GCP; Google Cloud Partner Network — GCP,https://docs.cloud.google.com/marketplace/docs/partners,2026-08-03
Marketplace Fee / Transaction Fee,general,The revenue share cloud marketplaces charge ISVs on each transaction — typically 3–20% depending on program tier; deal type; and partner status. Disbursements are paid net of this fee.,Related: Disbursement; Seller of Record,https://docs.aws.amazon.com/marketplace/latest/userguide/what-is-marketplace.html,2026-05-14
Marketplace Rewards — Azure,azure; cosell,Microsoft's benefits program for transactable Microsoft Marketplace publishers. Provides go-to-market support; co-marketing resources; and technical enablement; benefits scale with transact revenue milestones measured by Marketplace-billed sales; Business Applications solution value; or Teams App MAU. BYOL and free offers are categorized as List/Trial tier — not transact — and are ineligible for transact-tier Marketplace Rewards benefits. As of mid-2026; Marketplace Rewards is embedded within ISV Success (included automatically for ISV Success participants at no cost); Azure sponsorship credits will be restructured into use-case-specific allocations under Frontier Accelerate for Marketplace; a unified ISV program consolidating Marketplace Rewards; ISV Success; Azure IP co-sell; and Solutions Partner certifications; launching fall 2026.,Related: Microsoft Marketplace — Azure; ISV Success Program — Azure; Frontier Accelerate for Marketplace — Azure,https://learn.microsoft.com/en-us/partner-center/marketplace-offers/gtm-your-marketplace-benefits,2026-06-30
Metered Billing,general; suger,A billing mechanism where buyers are charged based on actual consumption of defined usage dimensions. Suger normalizes metered billing across AWS; Azure; and GCP through its unified metering API.,Related: Usage Metering; Billable Metric; Metering Dimension,https://doc.suger.io/get-started/metering/,2026-08-03
Metering Dimension,suger; general,A specific unit of measure used to track and bill usage (e.g.; seats; API calls; GB processed). Each entitlement can have multiple dimensions; referenced by Dimension Key or Dimension Name in Suger's API.,Related: Usage Metering; Billable Metric; Metering Dimension Conversion — Suger,https://doc.suger.io/get-started/metering/,2026-08-03
Microsoft AI Cloud Partner Program (MPN) — Azure,azure; cosell,Microsoft's partner program for ISVs and services companies. Enrollment is required to publish on Microsoft Marketplace and access co-sell; partner funding; and Marketplace Rewards — enrollment issues a PartnerID (formerly MPNID) that must be linked to Partner Center to complete publisher registration. Co-sell is managed through Partner Center — see the Partner Center — Azure term for the direct link.,Related: Microsoft Marketplace — Azure; Marketplace Rewards — Azure; MISA (Microsoft Intelligent Security Association) — Azure,https://learn.microsoft.com/en-us/partner-center/membership/mpn-overview,2026-06-02
Microsoft-Sourced Opportunity Referral (MSOR) — Azure,azure; cosell,A co-sell opportunity that a Microsoft sales representative identifies and shares with a partner through the Inbound tab of Partner Center's Co-sell opportunities page. The partner has 14 days to accept or decline; unanswered referrals automatically expire and both Microsoft and the partner are notified. MSORs typically arrive pre-matched against a Microsoft-managed customer account; giving the partner a warm; pre-qualified lead rather than a self-sourced deal.,Suger equivalent: Inbound Referral | AWS equivalent: APN Customer Engagements (ACE) — AWS | Related: Outbound Referral; Co-sell Eligible / Incentivized — Azure,https://learn.microsoft.com/en-us/partner-center/referrals/manage-co-sell-opportunities,2026-07-10
Multiparty Private Offer (MPO) — Azure,azure; cosell; offers; channel,Microsoft Marketplace's channel reseller mechanism — the Azure equivalent of AWS's CPPO. An ISV and channel partner collaborate to create a single private offer for an end customer; the partner sets their own margin; and the purchase counts toward the customer's MACC. With Resale-Enabled Offers; authorized channel partners can initiate MPOs independently for each customer deal without requiring per-deal ISV involvement. As of May 27; 2026; MPO is available across 30 European countries; and expanded to Japan; Australia; and South Africa on July 15; 2026.,AWS equivalent: Channel Partner Private Offer (CPPO) — AWS | GCP equivalent: Marketplace Channel Private Offer (MCPO) — GCP | Related: Resale-Enabled Offer — Azure,https://learn.microsoft.com/en-us/partner-center/marketplace-offers/multiparty-private-offers-for-isvs,2026-08-03
Managed Service Provider (MSP),general; cosell,A partner providing ongoing management of a customer's cloud environment and software. MSPs often resell ISV products through marketplace channel programs (CPPO on AWS; CSP/MPO on Azure).,Related: Channel Partner (CP); Co-sell,https://aws.amazon.com/partners/programs/msp/,2026-05-14
Offer,suger; general; offers,In Suger; a pricing and terms proposal that a buyer can accept to purchase a product — most commonly a private offer with custom pricing; term; and buyer-specific conditions; tracked and managed through the Suger Console across AWS; Azure; and GCP marketplaces. Must be linked to a Product; and maps differently to each marketplace's own offer construct.,AWS: Private Offer | Azure: Plan — Azure | Related: Private Offer,https://doc.suger.io/get-started/private-offers/,2026-08-03
Offer Expiration Date — AWS,aws; offers,The date after which a buyer can no longer view or accept a private offer. After 23:59:59 UTC on that date; the offer becomes inaccessible. Set by the seller at offer creation.,Related: Private Offer; Agreement-Based Offer (ABO) — AWS,https://docs.aws.amazon.com/marketplace/latest/userguide/private-offers-overview.html,2026-05-14
Offer Set — AWS,aws; offers,An AWS Marketplace feature that groups multiple private offers into a single buyer transaction; part of the Multi-Product Solutions framework. Buyers accept the entire bundle in one step rather than accepting each offer individually. Each product retains its own listing and pricing; but purchase is coordinated as one event — reducing friction in multi-component enterprise deals. No direct Azure or GCP equivalent exists at this time.,Related: Multi-Product Solution — AWS | Related: Solution Listing — AWS | Related: Private Offer | Suger equivalent: Offer Set — Suger,https://docs.aws.amazon.com/marketplace/latest/userguide/multi-product-solutions.html,2026-08-03
Offer Set — Suger,suger; aws; offers,Suger's support for creating and managing AWS Marketplace Offer Sets through the Suger platform. Enables ISVs to bundle multiple private offers into a single buyer transaction programmatically; mirroring the AWS Offer Set workflow. Managed via the Suger console or API alongside other private offer operations; eliminating the need to coordinate directly in the AWS Marketplace Management Portal.,AWS equivalent: Offer Set — AWS | Related: Multi-Product Solution — AWS | Related: Private Offer,https://doc.suger.io/get-started/,2026-08-03
Organization,suger,The top-level account in Suger representing your company. All Products; Offers; Entitlements; and Buyers are scoped to your Organization.,Related: Role-Based Access Control (RBAC); Suger Console,https://doc.suger.io/get-started/,2026-05-14
Outbound Referral,cosell; suger,A co-sell opportunity your organization originates and shares with a cloud provider's sales team — requesting their resources; deal support; or joint pursuit. Referrals aren't limited to hyperscaler sales teams — Suger also supports partner-to-partner referrals between two companies that both use Suger; treating the other Suger customer as a fourth referral counterpart alongside AWS; Azure; and GCP; complete with its own revenue-share terms and deal-value visibility controls.,Opposite: Inbound Referral | Related: Co-sell; Referral,https://doc.suger.io/cosell/cosell-outbound/,2026-08-24
Overage,suger; general,Usage that exceeds a buyer's prepaid commit. Cloud marketplaces bill overage separately via metered usage. Suger can auto-track cumulative usage and report only the portion above the commit.,Related: Commit / Prepaid Commit; Usage Metering,https://doc.suger.io/get-started/metering/,2026-08-03
Partner Center — Azure,azure,Microsoft's portal where publishers create and manage Microsoft Marketplace offers; co-sell configurations; payout profiles; and partner program enrollments. Accessible at partner.microsoft.com (https://partner.microsoft.com/).,Related: Azure Marketplace / Microsoft Marketplace; SaaS Fulfillment API — Azure; Microsoft AI Cloud Partner Program (MPN) — Azure,https://learn.microsoft.com/en-us/partner-center/enroll/overview,2026-08-03
PAYG / Pay-as-you-go,general; aws; gcp,A pricing model with no upfront commitment — buyers are billed only for what they consume. Called 'Subscription' on AWS; 'Usage-based' on GCP.,Related: Metered Billing; Commit / Prepaid Commit; Subscription — AWS,https://docs.aws.amazon.com/marketplace/latest/userguide/saas-pricing-models.html,2026-08-03
